加权排名,原始排名,排名变化,Twitter用户名,显示名称,加权总分,原始总分,分数增幅%,出现次数,平均排名,最高排名,最低排名,官方认证,蓝V认证,粉丝数,相关产品列表
1,1,0,DotCSV,Carlos Santana,9006.67,5999.48,50.12,200,173.5,4,453,✓,,195063,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, Stable Diffusion v2, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, DALL-E 3, DALL-E 3, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Stable Diffusion 3, Stable Diffusion 3, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, Manus, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Claude 4, Claude 4, Claude 4, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, Sora 2, Sora 2"
2,2,0,Artedeingenio,OscarAI,4649.09,3358.20,38.44,87,120.4,3,279,✓,,38294,"Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model"
3,4,1,kimmonismus,Chubby♨️,4340.33,2789.25,55.61,56,114.2,5,480,✓,,86148,"Midjourney v1, Stable Diffusion 3, Stable Diffusion 3, Amazon Nova, Amazon Nova, Amazon Nova, Amazon Nova, Genie 2, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, Manus, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent"
4,3,-1,code,Visual Studio Code,4033.26,2806.26,43.72,95,199.8,3,487,✓,,770831,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, Cursor, GPT-4, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5"
5,6,1,slow_developer,Haider.,3614.26,2314.20,56.18,89,190.0,1,491,✓,,51148,"Gemini 1.0, Gemini 1.0, Gemini 1.0, Gemini 1.0, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Claude 3.5 Haiku, Veo 2, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Claude 4, Claude 4, Claude 4, Claude 4, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent"
6,5,-1,_Ness_uno,┻┳|･ω･)ﾉ,3273.06,2399.79,36.39,51,76.6,51,103,,,368,"DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3, DALL-E 3"
7,8,1,karpathy,Andrej Karpathy,2691.30,1790.42,50.32,31,92.0,2,477,✓,,1405116,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, DALL-E 2, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, DALL-E 3, Gemini 2.0 Flash, Veo 2, Veo 2, Claude 4, GPT-5"
8,11,3,scaling01,Lisan al Gaib,2601.13,1636.15,58.98,64,218.3,8,497,✓,,22096,"Gemini 1.0, Gemini 1.0, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, Claude 4, GPT-5, GPT-5"
9,10,1,ai_for_success,AshutoshShrivastava,2599.44,1646.27,57.90,44,154.4,7,462,✓,,67813,"Midjourney v1, Gemini 1.0, Amazon Nova, Genie 2, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Claude 3.5 Haiku, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, GPT-4o Image Generation, GPT-4o Image Generation, Lovable 2.0, Claude 4, GPT-5, ChatGPT Agent, Sora 2, Sora 2, Sora 2, Sora 2"
10,7,-3,chetbff,Chet Bliss,2513.81,1808.73,38.98,29,61.2,2,245,✓,,14769,"Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model, Midjourney V1 video model"
